,count,mean,std,min,25%,50%,75%,max
205,4.0,3.55,3.75099986670221,0.9,1.575,2.1,4.074999999999999,9.1
206,4.0,4.775,2.1700614430625387,2.0,4.1,4.9,5.575,7.3
207,4.0,3.4000000000000004,1.7088007490635062,1.5,2.4000000000000004,3.3,4.3,5.5
208,4.0,4.525,2.5104780421266386,0.9,3.8249999999999997,5.4,6.1,6.4
209,4.0,5.225,1.6276260831857747,3.5,4.25,5.05,6.0249999999999995,7.3
210,4.0,1.65,0.9882644720249062,0.7,0.85,1.65,2.45,2.6
211,4.0,3.125,4.011961282631393,0.7,0.85,1.35,3.625,9.1
212,4.0,2.625,3.7366428783066756,0.4,0.55,0.95,3.025,8.2
213,4.0,3.525,3.3079449814046176,0.4,2.125,2.75,4.1499999999999995,8.2
214,4.0,4.300000000000001,2.04939015319192,1.6,3.4,4.6,5.5,6.4
215,4.0,5.8500000000000005,2.86879765755621,1.6,5.425000000000001,7.0,7.425,7.8
216,4.0,1.925,1.3047988350699888,0.2,1.4,2.1,2.625,3.3
217,4.0,4.1,2.023198787399136,1.6,3.1,4.2,5.2,6.4
218,4.0,3.25,3.9102429592034302,0.9,1.35,1.5,3.4,9.1
219,4.0,2.125,1.4291605927956452,0.9,0.9,2.0,3.225,3.6
220,4.0,4.675000000000001,3.8291643997091582,0.9,2.925,3.9000000000000004,5.65,10.0
221,4.0,3.45,3.1764760348537178,1.6,1.75,2.0,3.7,8.2
222,4.0,5.375,3.327035717672214,2.9,2.975,4.3,6.699999999999999,10.0
223,4.0,5.05,2.6999999999999997,1.6,4.3,5.2,5.95,8.2
224,4.0,2.325,2.7366341857593364,0.6,0.825,1.15,2.65,6.4
225,4.0,5.725,2.586342333618399,3.6,3.75,5.1,7.075,9.1
226,4.0,5.4,2.523225449036741,3.5,4.025,4.5,5.875,9.1
227,4.0,3.575,1.890987396397272,2.4,2.625,2.75,3.7,6.4
228,4.0,2.6,4.934909658072105,0.0,0.07500000000000001,0.2,2.7249999999999996,10.0
229,4.0,3.875,2.501166394571407,1.3,2.8,3.45,4.525,7.3
230,4.0,2.775,1.021028892833107,1.5,2.175,3.0,3.6,3.6
231,4.0,3.2249999999999996,3.9254511418009863,0.9,1.275,1.45,3.4,9.1
232,4.0,4.225,2.840627864868375,1.6,2.65,3.55,5.125,8.2
233,4.0,3.9999999999999996,0.7874007874011809,3.3,3.525,3.8,4.275,5.1
234,4.0,3.5,3.2934277989150855,0.5,2.075,2.6500000000000004,4.075,8.2
235,4.0,3.75,2.824299323136035,0.5,2.375,3.6,4.975,7.3
236,4.0,3.0999999999999996,2.8189832682487963,1.3,1.6,1.9,3.4,7.3
237,4.0,4.125,2.4308777564218786,1.5,2.8499999999999996,3.85,5.125,7.3
238,4.0,3.65,2.000833159794523,1.6,2.875,3.3,4.075,6.4
239,4.0,6.0,2.824889378365107,2.5,4.525,6.2,7.675,9.1
240,4.0,1.4749999999999999,0.9287087810503356,0.2,1.175,1.65,1.95,2.4
241,4.0,2.9749999999999996,3.0847744379992084,0.0,1.5750000000000002,2.3,3.7,7.3
242,4.0,4.9,3.1749015732775083,1.5,3.3,4.5,6.1,9.1
243,4.0,2.95,4.725462940284264,0.0,0.44999999999999996,0.8999999999999999,3.4000000000000004,10.0
244,4.0,4.8,2.2992752481307375,3.3,3.45,3.85,5.2,8.2
245,4.0,2.725,1.9189841062395487,0.0,2.325,3.2,3.5999999999999996,4.5
246,4.0,3.9000000000000004,2.6229754097208002,1.3,2.2,3.5,5.2,7.3
247,4.0,1.625,1.3573871960498227,0.6,0.825,1.15,1.95,3.6
248,4.0,4.275,2.131314148594712,2.2,2.575,4.25,5.95,6.4
249,4.0,4.05,3.624453981866326,0.5,2.375,3.3,4.975,9.1
250,4.0,5.4,1.5534906930308057,3.5,4.85,5.4,5.95,7.3
251,4.0,3.675,3.198306843732581,0.9,1.8,2.8,4.675,8.2
252,4.0,2.6,0.9486832980505138,1.8,1.95,2.35,3.0,3.9
253,4.0,2.6,2.733739807175023,0.0,1.125,2.0,3.475,6.4
254,4.0,4.3,2.420743687382041,1.5,3.075,4.2,5.425,7.3
255,4.0,3.3,3.8987177379235853,0.7,1.3,1.7,3.6999999999999997,9.1
256,4.0,3.7249999999999996,3.31800642956982,0.2,2.3,3.25,4.675,8.2
257,4.0,6.425000000000001,2.0434855843223687,4.2,5.4,6.199999999999999,7.225,9.1
258,4.0,6.225,2.2035955466766883,3.8,5.1499999999999995,6.0,7.075,9.1
259,4.0,3.85,2.0074859899884734,1.5,3.075,3.75,4.525,6.4
260,4.0,1.85,1.1445523142259597,0.9,0.9,1.65,2.6,3.2
261,4.0,4.725,2.610715099993359,1.1,4.025,5.25,5.95,7.3
262,4.0,1.75,0.9746794344808964,0.4,1.4500000000000002,1.9500000000000002,2.25,2.7
263,4.0,3.5999999999999996,0.886942313043338,2.5,3.0999999999999996,3.6999999999999997,4.199999999999999,4.5
264,4.0,3.4499999999999997,3.387722932393773,0.2,1.85,2.7,4.3,8.2
265,4.0,3.375,2.789713246912664,0.7,2.2,2.75,3.925,7.3
266,4.0,3.375,3.8793255427543927,0.5,1.475,1.9500000000000002,3.85,9.1
267,4.0,5.75,2.2722969289539012,2.7,5.175,6.05,6.625,8.2
268,4.0,4.925,2.4649205531483833,2.4,3.525,4.55,5.95,8.2
269,4.0,4.1,4.0257504476391315,1.1,1.85,2.6500000000000004,4.9,10.0
270,4.0,3.2,4.000833246545858,0.2,1.325,1.75,3.625,9.1
271,4.0,3.5749999999999997,3.2846866923143017,0.5,1.9249999999999998,2.8,4.45,8.2
272,4.0,3.025,1.0210288928331068,1.6,2.65,3.3,3.675,3.9
273,4.0,5.925,3.030264014900352,2.7,4.575,5.5,6.85,10.0
274,4.0,2.6,1.449137674618944,0.9,1.725,2.65,3.525,4.2
275,4.0,2.9,4.742010825237187,0.2,0.425,0.7,3.175,10.0
276,4.0,3.5,3.7665191711534756,1.1,1.4,1.9,4.0,9.1
277,4.0,2.7,4.871002634639677,0.0,0.22499999999999998,0.4,2.875,10.0
278,4.0,6.35,2.007485989988473,4.4,5.225,5.95,7.075,9.1
279,4.0,4.225,3.0901725949640197,0.7,2.875,4.0,5.35,8.2
280,4.0,5.525,2.6221810260417437,2.2,4.15,5.85,7.225,8.2
281,4.0,3.625,2.136000936329383,1.8,2.025,3.1500000000000004,4.75,6.4
282,4.0,3.225,3.003747659175118,0.9,0.9,2.4,4.725,7.2
283,4.0,4.949999999999999,2.4392621835300936,1.3,4.825,6.05,6.175,6.4
284,4.0,2.225,2.8593414160140678,0.0,0.675,1.25,2.8000000000000003,6.4
285,4.0,2.5999999999999996,3.766519171153475,0.2,0.5,1.0,3.0999999999999996,8.2
286,4.0,5.525,1.654035469188413,3.3,5.1,5.75,6.175,7.3
287,4.0,3.775,3.8586482952799237,0.2,1.4749999999999999,2.9,5.199999999999999,9.1
288,4.0,4.7,2.5638512697372544,2.2,3.25,4.2,5.6499999999999995,8.2
289,4.0,2.8499999999999996,4.206740622699082,0.0,0.675,1.15,3.3249999999999997,9.1
290,4.0,3.075,4.635640912178883,0.2,0.7250000000000001,1.05,3.4000000000000004,10.0
291,4.0,2.575,1.35,1.5,1.725,2.15,3.0,4.5
292,4.0,2.8499999999999996,1.933045955653064,1.1,1.625,2.4,3.625,5.5
293,4.0,3.675,3.6863486903257896,0.9,1.8,2.35,4.225,9.1
294,4.0,6.1,3.001110905425967,2.0,5.074999999999999,6.65,7.675,9.1
