nome,estado,partido,n_prod_leg,n_fisc,n_mobi,n_alin_partd,nota
jose mario schreiner,Goiás,MDB,4.2,1.8,2.1,6.4,7.15
jose medeiros,Mato Grosso,PL,7.2,0.9,3.9,0.9,6.71
jose nelto,Goiás,PP,6.0,1.3,6.1,6.4,6.3
jose nunes,Bahia,PSD,1.6,0.0,0.9,6.4,
jose priante,Pará,MDB,1.4,0.2,0.6,8.2,5.07
jose ricardo,Amazonas,PT,5.7,3.3,5.8,7.3,2.65
jose rocha,Bahia,UNIÃO,1.9,0.2,3.9,9.1,6.3
joseildo ramos,Bahia,PT,3.6,2.2,4.8,8.2,2.94
josimar maranhaozinho,Maranhão,PL,1.4,0.0,0.9,9.1,4.78
josivaldo jp,Maranhão,PSD,0.9,0.2,1.2,10.0,6.82
juarez costa,Mato Grosso,MDB,2.5,1.5,1.8,4.5,5.81
julian lemos,Paraíba,UNIÃO,3.0,1.1,1.8,5.5,7.06
julio cesar,Piauí,PSD,2.6,0.9,2.1,9.1,6.72
julio cesar ribeiro,Distrito Federal,REPUBLICANOS,7.2,2.0,6.1,9.1,6.41
julio delgado,Minas Gerais,PV,4.2,2.4,3.3,1.8,3.82
julio lopes,Rio de Janeiro,PP,1.0,0.9,1.5,10.0,
juninho do pneu,Rio de Janeiro,UNIÃO,5.1,0.7,4.8,9.1,6.5
junio amaral,Minas Gerais,PL,4.1,0.7,2.4,3.6,7.35
junior ferrari,Pará,PSD,2.8,0.2,1.8,2.7,7.8
junior lourenco,Maranhão,PL,1.0,0.0,1.5,10.0,6.39
junior mano,Ceará,PL,3.1,0.4,3.6,9.1,5.84
juscelino filho,Maranhão,UNIÃO,2.3,0.9,2.4,9.1,5.68
kim kataguiri,São Paulo,UNIÃO,9.0,3.3,6.1,0.9,7.85
laercio oliveira,Sergipe,PP,3.4,1.5,4.5,7.3,7.54
lafayette de andrada,Minas Gerais,REPUBLICANOS,4.1,0.2,3.9,9.1,6.09
laura carneiro,Rio de Janeiro,UNIÃO,0.6,0.7,0.6,10.0,
lauriete,Espírito Santo,PSC,4.2,1.1,2.4,8.2,6.18
leandre,Paraná,PSD,4.7,3.8,3.9,0.9,5.44
leda sadala,Amapá,PP,2.2,1.8,2.4,7.3,6.0
leo de brito,Acre,PT,3.1,3.8,3.9,10.0,4.03
leo moraes,Rondônia,PODE,7.3,2.2,6.4,0.9,6.62
leo motta,Minas Gerais,REPUBLICANOS,1.9,0.2,2.1,0.9,5.97
leonardo gadelha,Paraíba,PSC,1.4,0.0,1.2,10.0,
leonardo monteiro,Minas Gerais,PT,3.6,3.8,7.9,8.2,2.8
leonardo picciani,Rio de Janeiro,MDB,0.8,0.7,0.9,8.2,
leonidas cristino,Ceará,PDT,2.2,2.0,2.7,8.2,3.15
leur lomanto junior,Bahia,UNIÃO,2.2,0.0,2.7,6.4,6.47
lidice da mata,Bahia,PSB,5.5,2.4,7.0,6.4,2.47
lincoln portela,Minas Gerais,PL,5.2,1.5,4.2,6.4,7.4
liziane bayer,Rio Grande do Sul,REPUBLICANOS,3.2,1.3,2.4,0.9,6.98
loester trutis,Mato Grosso do Sul,PL,3.9,1.1,4.5,5.5,7.21
lourival gomes,Rio de Janeiro,PP,2.2,1.6,1.2,6.4,6.96
lucas gonzalez,Minas Gerais,NOVO,6.0,3.1,4.8,10.0,7.49
